date,timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,returns,sma_20,sma_50,ema_12,ema_26,macd,signal,rsi,bollinger_upper,bollinger_middle,bollinger_lower,atr
2023-12-24,1703376000000,43702.15,43946.0,42500.0,42991.5,25144.33496,1703462399999,1093460634.88942270,1137678,11841.26614000,514962029.17833470,0,BTC,-0.016261438793872096,43007.0265,39551.3604,42953.45209138273,41818.24384340799,1135.2082479747405,1278.970061432848,46.36063552175883,44910.033058632755,43007.0265,41104.019941367245,1693.9885714285713
2023-12-25,1703462400000,42991.5,43802.32,42720.43,43576.13,27021.23992,1703548799999,1172053386.51098150,1168428,13691.23930000,593900885.80314620,0,BTC,0.013598734633590404,42982.167,39722.6454,43049.24869270846,41948.457632785176,1100.7910599232855,1243.3342611309356,62.886715763567,44838.95247303846,42982.167,41125.381526961544,1515.373571428571
2023-12-26,1703548800000,43576.12,43592.68,41637.6,42508.93,41010.04282,1703635199999,1746333612.30494510,1475816,21096.16634000,898267435.23798300,0,BTC,-0.024490472192000512,42919.47900000001,39871.902200000004,42966.12273998408,41989.974104430716,976.1486355533634,1189.8971360154212,55.16517755520146,44749.778934521615,42919.47900000001,41089.1790654784,1553.2992857142854
2023-12-27,1703635200000,42508.93,43677.0,42098.69,43428.85,36191.21136,1703721599999,1554082990.05227590,1439770,18982.83267000,815239612.61736400,0,BTC,0.021640629392459365,42927.264500000005,40032.49679999999,43037.3115492173,42096.557504102515,940.754045114787,1140.0685178352944,52.98297028858861,44765.207298576526,42927.264500000005,41089.32170142348,1457.4499999999996
2023-12-28,1703721600000,43428.86,43787.57,42241.79,42563.76,35150.52485,1703807999999,1508408742.37808110,1391826,17422.81910000,747631903.05539890,0,BTC,-0.01991970775187457,42846.903000000006,40171.2776,42964.45746472233,42131.16509639122,833.2923683311092,1078.7132879344574,47.729177273744824,44594.18860675736,42846.903000000006,41099.61739324265,1423.5771428571425
2023-12-29,1703808000000,42563.76,43111.0,41300.0,42066.95,42597.18912,1703894399999,1803086285.24657750,1571137,21195.34128000,897324724.79689550,0,BTC,-0.011672136108276221,42764.5705,40278.5948,42826.37939322658,42126.40842258446,699.9709706421199,1002.9648244759899,50.66585631803798,44495.00235308339,42764.5705,41034.13864691661,1451.8764285714283
2023-12-30,1703894400000,42066.94,42612.32,41520.3,42140.28,22906.57818,1703980799999,964875790.98493500,936545,11727.69648000,494133887.90718110,0,BTC,0.0017431736790995966,42682.109000000004,40375.3678,42720.825640422496,42127.43594683747,593.389693585028,921.0497982977976,49.25507602821139,44363.37500552722,42682.109000000004,41000.84299447279,1449.9185714285709
2023-12-31,1703980800000,42140.29,42899.0,41965.84,42283.58,23585.91603,1704067199999,1001519241.55590540,1016484,11997.14865000,509478742.74451080,0,BTC,0.0034005469351414686,42733.618,40478.4394,42653.557080357496,42139.00217299766,514.5549073598377,839.7508201102057,55.35557511757836,44288.99343120027,42733.618,41178.24256879973,1432.8535714285713
2024-01-01,1704067200000,42283.58,44184.1,42180.77,44179.55,27174.29903,1704153599999,1169995682.02800140,1114623,14331.73180000,617352094.56051940,0,BTC,0.04483939155577654,42867.976,40620.747800000005,42888.32522184096,42290.15386388672,598.1713579542411,791.4349276790128,58.36250432756507,44436.09229766563,42867.976,41299.859702334375,1417.7428571428572
2024-01-02,1704153600000,44179.55,45879.63,44148.34,44946.91,65146.40661,1704239999999,2944331821.82307620,2247532,33817.14447000,1527964124.23758480,0,BTC,0.017369122139089255,42971.87,40790.4274,43205.03057232697,42486.950614709924,718.0799576170466,776.7639336666197,64.08089243162314,44794.897131766316,42971.87,41148.84286823369,1420.9850000000001
